Pseudo-terminal will not be allocated because stdin is not a terminal.
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      341.9   249.6   160.7   220.1   234.1   312.9   359.2   387.8   408.7   434.6   468.6   523.0   642.2  2208.0 11336.6  30216.1    30240  1715431273819  1715431283943
read      345.6   217.0   148.8   219.1   233.8   319.6   367.9   396.6   418.3   444.1   477.3   532.1   655.5  1419.2 10222.2  30243.1    30245  1715431285452  1715431295569
read      335.2   214.8   160.7   220.9   234.2   307.9   350.1   377.8   399.4   426.4   461.1   510.9   618.8  1773.5  9379.5  30270.7    30250  1715431297077  1715431307189
read      334.4   217.6   160.7   219.6   231.6   304.7   348.3   377.7   400.0   427.9   463.4   516.4   633.5  2135.8  8625.7  30274.7    30255  1715431308697  1715431318821
read      348.1   219.4   160.7   223.8   238.7   319.5   366.1   395.0   417.2   444.1   479.8   536.0   663.2  1999.1  8575.4  30300.9    30260  1715431320329  1715431330453
read      353.5   252.4   148.8   219.1   234.8   326.2   375.6   403.9   426.1   452.7   488.0   542.7   677.2  2285.0 12030.8  30250.1    30265  1715431331963  1715431342082
read      344.8   246.8   160.7   220.3   234.7   315.0   361.6   390.9   412.9   439.4   474.2   531.0   666.3  2212.4 11920.3  30306.7    30270  1715431343590  1715431353707
read      342.4   224.3   160.7   220.5   234.5   313.1   358.9   387.9   409.4   436.4   471.5   528.0   656.3  2512.7  8694.2  30214.1    30275  1715431355215  1715431365333
read      334.9   211.9   160.7   221.3   234.3   307.7   350.6   378.4   399.6   426.0   460.4   511.0   623.0  1596.6  8784.9  30158.5    30280  1715431366842  1715431376955
read      348.7   231.4   160.7   221.3   236.3   320.0   368.9   397.7   419.7   446.1   481.6   537.6   668.9  1892.4  9843.4  30314.3    30285  1715431378466  1715431388582
read      343.5   223.1   160.7   221.6   236.1   316.9   363.0   390.8   411.3   436.2   469.9   521.5   634.2  2033.1 10117.5  30249.1    30290  1715431390090  1715431400208
read      344.5   244.1   160.7   222.7   237.2   314.3   360.6   389.7   411.2   437.3   472.0   527.8   652.0  2450.7 10451.3  30274.7    30295  1715431401716  1715431411830
read      385.3   505.6   160.7   221.9   236.7   323.4   377.7   412.3   438.9   473.1   522.6   606.8   974.4  7682.7 20337.5  30293.9    30300  1715431413337  1715431423448
read      425.2   557.7   160.7   230.7   247.1   348.2   409.0   447.8   477.7   516.4   571.8   675.3  1841.9  8003.7 22538.4  30317.2    30305  1715431424956  1715431435069
read      433.2   613.8   160.7   227.7   243.8   343.4   405.7   448.2   480.8   523.8   584.1   693.5  1962.4  9588.2 19653.3  30317.9    30310  1715431436577  1715431446693
read      355.5   329.2   160.7   219.5   232.3   311.7   360.0   390.8   414.4   443.8   483.7   546.2   775.2  5264.5 12560.7  30310.0    30315  1715431448202  1715431458331
read      335.9   257.6   160.7   219.6   231.9   305.0   348.6   377.1   399.1   426.1   460.5   511.0   632.1  2760.0 12313.9  30324.2    30320  1715431459840  1715431469954
